,Player,Pos,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Age at First Season,Age at Last Season,Num Season(s),MVP(s)
0,Mahmoud Abdul-Rauf,PG,['SAC' 'VAN'],36.0,0.0,14.5,3.1,7.4,43.2,0.2,0.6,22.3,3.0,6.8,45.2,44.1,0.5,0.6,87.9,0.2,0.8,0.9,1.9,0.4,0.0,0.6,1.1,6.9,28,31,2,0
1,Tariq Abdul-Wahad,SG,['SAC' 'TOT' 'ORL' 'DEN' 'DAL'],32.1,21.3,19.2,2.7,6.7,36.9,0.0,0.2,29.1,2.7,6.4,37.4,37.4,1.3,1.9,61.8,1.3,2.0,3.3,1.2,0.7,0.4,1.2,2.1,6.8,23,28,6,0
2,Shareef Abdur-Rahim,PF,['VAN' 'ATL' 'TOT' 'POR' 'SAC'],64.2,53.0,32.3,5.9,12.6,45.5,0.2,0.6,28.9,5.8,12.1,46.3,46.1,4.4,5.4,83.6,2.1,4.9,7.0,2.4,0.9,0.7,2.3,2.7,16.5,21,31,11,0
3,Cory Alexander,PG,['TOT' 'SAS' 'DEN' 'ORL' 'CHA'],32.4,7.3,17.7,2.1,5.4,36.9,0.8,2.2,33.0,1.3,3.1,39.6,43.5,1.0,1.3,76.2,0.3,1.8,2.0,2.9,1.0,0.1,1.6,1.6,6.0,24,31,5,0
4,Ray Allen*,SG,['MIL' 'TOT' 'SEA' 'BOS' 'MIA'],68.1,60.2,36.2,6.9,15.2,45.2,2.4,6.0,39.7,4.5,9.2,49.0,53.3,3.5,3.9,90.1,1.0,3.2,4.2,3.6,1.2,0.2,2.2,2.2,19.6,22,38,17,0
5,Derek Anderson,SG,['CLE' 'LAC' 'SAS' 'POR' 'TOT' 'HOU' 'MIA' 'CHA'],50.6,30.8,27.4,3.5,8.8,39.4,1.0,3.0,32.6,2.5,5.8,42.6,45.3,2.8,3.3,83.9,0.6,2.5,3.1,3.1,1.0,0.1,1.6,2.0,10.8,23,33,11,0
6,Greg Anderson,C,ATL,50.0,0.0,8.0,0.7,1.6,44.4,0.0,0.1,0.0,0.7,1.5,47.4,44.4,0.3,0.8,39.0,0.8,1.6,2.4,0.3,0.4,0.2,0.3,1.7,1.8,33,33,1,0
7,Kenny Anderson,PG,['TOT' 'POR' 'BOS' 'SEA' 'NOH' 'IND' 'ATL' 'LAC'],42.8,29.0,23.2,3.3,7.7,41.9,0.3,0.9,31.8,2.9,6.8,42.6,43.6,1.4,1.8,77.8,0.5,1.8,2.4,4.0,1.1,0.1,1.5,2.1,8.2,27,34,8,0
8,Nick Anderson,SG,['ORL' 'SAC' 'MEM'],42.6,31.0,22.9,3.5,9.1,35.3,1.3,4.0,31.3,2.2,5.0,37.7,42.9,1.0,1.7,57.3,0.8,3.0,3.8,1.4,1.0,0.3,1.2,1.3,9.4,30,34,5,0
9,Shandon Anderson,SG,['UTA' 'HOU' 'NYK' 'TOT' 'MIA'],65.5,21.0,21.5,2.4,5.4,41.1,0.4,1.2,24.8,2.0,4.2,44.9,43.8,1.2,1.7,74.9,0.8,2.1,2.9,1.2,0.7,0.2,1.2,2.0,6.3,24,32,9,0
10,Chris Anstey,C,['DAL' 'CHI'],51.7,7.7,14.0,1.9,4.7,40.0,0.0,0.2,11.8,1.9,4.4,41.3,40.3,1.2,1.7,73.8,1.1,2.2,3.3,0.8,0.5,0.4,0.9,2.4,5.1,23,25,3,0
11,Greg Anthony,PG,['SEA' 'POR' 'TOT' 'CHI' 'MIL'],55.7,11.3,19.6,2.4,6.1,39.8,0.9,2.6,35.3,1.5,3.5,42.3,48.0,0.9,1.3,67.7,0.3,1.4,1.7,3.2,1.1,0.1,1.2,1.6,6.6,30,34,5,0
12,B.J. Armstrong,PG,['TOT' 'GSW' 'CHH' 'ORL' 'CHI'],31.9,2.9,14.1,1.7,3.9,44.7,0.2,0.6,33.3,1.5,3.3,46.2,47.6,0.7,0.9,83.8,0.2,1.1,1.4,2.2,0.5,0.0,1.0,1.2,4.4,30,32,3,0
13,Darrell Armstrong,PG,['ORL' 'NOH' 'DAL' 'IND'],63.7,27.7,26.3,3.6,9.0,39.8,1.2,3.6,32.1,2.5,5.4,45.7,46.2,1.9,2.2,86.2,0.9,2.2,3.1,4.5,1.4,0.1,2.1,1.8,10.3,29,38,9,0
14,Keith Askins,SF,MIA,39.5,12.5,13.7,0.7,2.3,32.2,0.4,1.2,28.0,0.4,1.0,37.0,39.6,0.2,0.3,62.9,0.4,1.3,1.8,0.4,0.6,0.2,0.5,2.0,2.0,30,31,2,0
15,Isaac Austin,C,['TOT' 'ORL' 'WAS' 'VAN'],59.5,34.5,22.7,3.4,7.9,41.5,0.0,0.2,19.7,3.3,7.7,41.9,41.8,1.8,2.8,68.1,1.6,3.7,5.2,1.6,0.6,0.6,1.9,2.4,8.5,28,31,4,0
16,Brent Barry,SG,['LAC' 'MIA' 'SEA' 'SAS' 'HOU'],57.2,23.7,23.3,2.8,6.2,45.0,1.4,3.5,40.3,1.4,2.6,52.4,57.1,1.3,1.5,86.6,0.4,2.3,2.7,2.7,0.9,0.3,1.2,1.6,8.4,26,37,8,0
17,Drew Barry,PG,ATL,27.0,0.0,9.5,0.7,1.4,47.4,0.3,0.8,42.9,0.3,0.6,52.9,59.2,0.4,0.5,84.6,0.2,1.1,1.3,1.8,0.4,0.0,1.1,1.0,2.1,24,24,1,0
18,Tony Battie,C,['DEN' 'BOS' 'CLE' 'ORL' 'NJN' 'PHI'],56.7,27.2,18.9,2.2,4.8,45.9,0.0,0.1,21.7,2.2,4.7,46.3,46.2,0.8,1.2,70.9,1.4,3.1,4.4,0.6,0.4,0.7,0.8,2.3,5.3,21,35,11,0
19,Corey Beck,PG,['CHH' 'DET'],27.7,4.7,8.6,0.9,1.9,47.0,0.0,0.1,75.0,0.8,1.8,46.4,47.8,0.5,0.7,73.0,0.4,0.9,1.2,1.0,0.4,0.1,0.7,1.2,2.2,26,27,2,0
20,Benoit Benjamin,C,['PHI' 'CLE'],7.7,0.0,7.4,0.7,1.7,38.5,0.0,0.0,,0.7,1.7,38.5,38.5,0.5,0.7,63.3,0.6,1.2,1.8,0.1,0.1,0.2,0.5,1.1,2.0,33,35,3,0
21,Mario Bennett,PF,['LAL' 'CHI' 'LAC'],16.3,1.3,5.7,0.8,2.7,30.9,0.0,0.0,50.0,0.8,2.7,30.9,31.0,0.5,0.8,55.7,1.0,1.2,2.2,0.1,0.2,0.1,0.3,1.2,2.1,24,26,3,0
22,David Benoit,SF,['TOT' 'NJN' 'ORL' 'UTA'],50.8,0.5,13.1,1.8,4.8,39.9,0.6,1.7,33.2,1.3,3.1,42.9,45.1,0.8,1.0,81.5,0.7,1.7,2.4,0.3,0.4,0.2,0.6,1.8,5.1,29,32,2,0
23,Travis Best,PG,['IND' 'TOT' 'CHI' 'MIA' 'DAL' 'NJN'],64.7,12.2,22.1,2.9,6.7,42.7,0.3,1.0,32.7,2.6,5.8,44.3,45.1,1.5,1.7,86.5,0.3,1.6,1.8,3.7,1.0,0.1,1.2,2.3,7.6,25,32,8,0
24,Chauncey Billups,PG,['TOT' 'BOS' 'TOR' 'DEN' 'MIN' 'DET' 'NYK' 'LAC'],54.4,51.1,30.8,4.2,10.6,39.7,1.7,4.6,36.4,2.6,6.0,42.3,47.8,4.2,4.7,89.2,0.4,2.4,2.8,5.1,1.0,0.2,2.1,2.0,14.4,21,37,16,0
25,Mookie Blaylock,PG,['ATL' 'GSW'],59.0,49.6,32.0,4.2,10.9,38.0,1.2,3.7,31.9,3.0,7.1,41.4,43.3,0.9,1.3,67.4,0.8,2.9,3.7,5.8,2.0,0.2,2.0,1.4,10.4,30,34,5,0
26,Corie Blount,PF,['LAL' 'TOT' 'CLE' 'PHO' 'GSW' 'PHI' 'CHI' 'TOR'],42.9,4.0,16.7,1.5,3.4,44.5,0.0,0.1,5.6,1.5,3.3,45.0,44.5,0.5,1.0,56.8,1.8,2.7,4.6,0.6,0.6,0.4,0.8,2.3,3.5,29,35,7,0
27,Muggsy Bogues,PG,['TOT' 'CHH' 'GSW' 'TOR'],40.2,12.0,18.8,1.6,3.8,36.8,0.1,0.3,16.7,1.6,3.5,37.7,37.4,0.8,0.9,91.2,0.3,1.3,1.6,3.7,1.0,0.0,1.2,1.1,4.1,33,36,4,0
28,Etdrick Bohannon,PF,['IND' 'WAS' 'TOT' 'NYK' 'LAC' 'CLE'],6.5,0.0,4.9,0.2,0.6,39.4,0.0,0.0,,0.2,0.6,39.4,39.4,0.8,1.0,74.4,0.6,0.8,1.3,0.2,0.1,0.3,0.5,1.0,1.2,24,27,4,0
29,Keith Booth,SF,CHI,22.5,2.0,7.0,0.8,2.4,32.9,0.0,0.2,5.0,0.8,2.2,37.0,33.1,0.8,1.0,75.0,0.4,1.0,1.5,0.6,0.3,0.2,0.8,1.0,2.4,23,24,2,0
30,Bruce Bowen,SF,['BOS' 'TOT' 'PHI' 'MIA' 'SAS'],67.2,46.1,24.9,2.0,5.0,39.4,0.8,2.1,40.1,1.2,2.9,39.6,47.2,0.6,1.1,56.2,0.5,2.0,2.5,1.1,0.8,0.4,0.7,2.2,5.5,26,37,12,0
31,Anthony Bowie,SG,NYK,27.0,3.0,8.3,1.2,2.2,54.2,0.1,0.1,75.0,1.1,2.0,52.7,56.8,0.3,0.3,88.9,0.3,0.6,1.0,0.4,0.2,0.1,0.3,0.9,2.8,34,34,1,0
32,Shawn Bradley,C,DAL,68.6,30.2,20.4,2.6,5.5,47.6,0.0,0.0,10.0,2.6,5.4,47.9,47.7,1.4,1.8,78.4,1.8,3.8,5.6,0.6,0.6,2.1,0.8,2.8,6.5,25,32,8,0
33,Terrell Brandon,PG,['MIL' 'TOT' 'MIN'],43.3,41.9,34.3,6.1,13.9,43.7,0.4,1.4,29.1,5.7,12.5,45.2,45.1,2.2,2.6,87.2,0.7,2.9,3.5,8.2,1.9,0.3,2.2,2.1,14.8,27,31,5,0
34,Tim Breaux,SF,MIL,6.0,0.0,5.0,0.7,1.8,36.4,0.2,0.5,33.3,0.5,1.3,37.5,40.9,0.2,0.3,50.0,0.0,0.3,0.3,0.3,0.3,0.2,0.2,0.2,1.7,27,27,1,0
35,Scott Brooks,PG,CLE,43.0,0.0,7.3,0.7,1.5,42.4,0.1,0.3,45.5,0.5,1.3,41.8,46.2,0.4,0.5,90.0,0.1,0.6,0.7,1.1,0.4,0.1,0.3,0.6,1.8,32,32,1,0
36,Chucky Brown,SF,['ATL' 'CHH' 'TOT' 'SAS' 'GSW' 'CLE' 'SAC'],35.7,10.1,15.2,2.0,4.5,43.4,0.0,0.2,16.3,2.0,4.3,44.7,43.8,0.7,1.0,64.9,0.5,2.0,2.5,0.8,0.3,0.3,0.5,1.6,4.7,29,33,5,0
37,Dee Brown,PG,['TOT' 'BOS' 'TOR' 'ORL' 'UTA' 'WAS' 'PHO'],30.2,5.3,18.3,2.0,5.4,34.9,1.1,3.2,31.4,0.9,2.2,36.3,43.9,0.6,0.7,72.0,0.2,1.4,1.6,1.9,0.7,0.1,1.0,1.5,5.8,22,33,7,0
38,P.J. Brown,PF,['MIA' 'CHH' 'NOH' 'NOK' 'CHI' 'BOS'],69.9,65.5,29.6,3.4,7.4,45.6,0.0,0.0,0.0,3.4,7.4,45.7,45.6,1.9,2.3,80.6,2.7,5.0,7.7,1.4,0.8,0.9,1.2,2.8,8.8,28,38,11,0
39,Randy Brown,PG,['CHI' 'BOS' 'PHO'],42.7,21.3,18.3,1.7,4.4,32.6,0.0,0.1,12.5,1.7,4.3,32.9,32.6,0.8,1.0,70.8,0.4,1.3,1.6,2.6,0.9,0.3,1.0,1.8,4.1,29,34,6,0
40,Rick Brunson,PG,['POR' 'NYK' 'TOT' 'BOS' 'CHI' 'TOR' 'LAC' 'SEA' 'HOU'],28.4,3.4,10.6,1.0,2.6,39.6,0.2,0.6,29.8,0.8,2.0,41.6,42.7,0.5,0.7,64.8,0.2,0.8,1.0,1.8,0.5,0.0,0.9,0.9,2.6,25,33,9,0
